SMILES,pIC50,mol,num_atoms,logP,predicted_pIC50,predicted_logP
O=C(Nc1ccc(Cl)cc1)c1cccc([N+](=O)[O-])c1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32192a0>,20,3.2061000000000006,0.6242443328932559,3.0502496850125143
COC(=O)C(N)Cc1ccc(O)cc1,0.37,<rdkit.Chem.rdchem.Mol object at 0x7f59a29bb610>,14,0.4349999999999994,0.07161166171280776,2.0923158757795752
CN1CCC(Nc2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(C(F)(F)F)c4)nc23)CC1,9.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2962f10>,34,5.006900000000004,7.287298918968457,3.356551573076433
CC(=O)C(Cc1ccccc1)C(C)=O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a29bd150>,14,2.0233,0.07161166171280776,2.0923158757795752
Brc1ccsc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29b66c0>,6,2.5106,0.19736783499662583,1.1388140180808999
CS(=O)(=O)Nc1cccc(NS(C)(=O)=O)c1,0.37,<rdkit.Chem.rdchem.Mol object at 0x7f59a321bc30>,16,0.4296,0.10249296866243843,2.3926792435027355
CN1CCN(c2cccc(Nc3nc4c(OCc5ccccc5C(N)=O)cccn4n3)c2)CC1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943140>,34,2.9026000000000014,7.287298918968457,3.356551573076433
CC(=O)Nc1ccc(C)c(C)c1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a29ca3b0>,12,2.2618400000000003,0.07342776947483905,1.8810945150755836
Cc1csc(N=C(N)N)n1,0.44,<rdkit.Chem.rdchem.Mol object at 0x7f59a3230820>,10,0.3564200000000002,0.08327212409458717,1.7863367912636108
CC1(N)CCC(Nc2c(C(N)=O)cnn3cccc23)C1(C)C,6.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a293f4c0>,22,1.7511000000000003,0.9242292047256983,3.091605706672666
CC(C)CC(=O)OCc1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2981e70>,14,2.775900000000001,0.07161166171280776,2.0923158757795752
Clc1ccc(Cl)c(Oc2ccccc2)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3266180>,15,4.785700000000002,0.07064973575650219,2.2860828770555717
