SMILES,pIC50,mol,num_atoms,logP,predicted_pIC50,predicted_logP
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ed50>,34,4.233000000000003,4.999151666666662,3.5999849000000053
CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e030>,40,6.697000000000005,5.221149999999997,5.869036850000002
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,5.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e7a0>,27,4.271900000000003,5.027611429542679,3.5271341863229613
O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dcb0>,26,2.0862,5.032667596192077,3.265493338435363
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dc40>,27,2.0013999999999994,5.027611429542679,3.5271341863229613
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da10>,28,3.5081000000000016,5.037941944444447,3.6799520465728732
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,4.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d2a0>,21,1.1558999999999993,5.077474444444443,2.437665719841272
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,5.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ec00>,18,3.417800000000001,5.157449444444453,3.324704278888894
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cd60>,22,2.151,4.829473910533909,2.6425293445621048
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.26,<rdkit.Chem.rdchem.Mol object at 0x7f59df45bc30>,25,4.159100000000002,5.178196825396827,3.8470908079725836
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,4.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d0e0>,29,4.3804000000000025,5.147967781385281,3.337197196542347
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d620>,25,3.7493000000000007,5.178196825396827,3.8470908079725836
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e8f0>,41,7.281800000000007,5.057749999999998,6.400721850000005
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d770>,35,3.449200000000001,5.0019666666666645,3.2822322533333352
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,5.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f060>,25,3.880080000000001,5.178196825396827,3.8470908079725836
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,4.59,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c7b0>,21,3.213000000000001,5.077474444444443,2.437665719841272
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ea40>,30,3.8213000000000026,5.134101778499279,3.9208908687590203
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eab0>,26,4.061400000000003,5.032667596192077,3.265493338435363
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ce40>,23,1.5024999999999993,5.0021394444444445,1.4325914753968254
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d690>,41,6.822800000000006,5.057749999999998,6.400721850000005
